stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000005178	9606.ENSP00000319814	PDK4	PCK1	9606	0.624	0.0	0.0	0.0	0.084	0.0	0.0	0.607
9606.ENSP00000005178	9606.ENSP00000422607	PDK4	ACSL1	9606	0.63	0.0	0.0	0.0	0.107	0.0	0.0	0.603
9606.ENSP00000005178	9606.ENSP00000415743	PDK4	CD36	9606	0.696	0.0	0.0	0.0	0.203	0.0	0.0	0.634
9606.ENSP00000006724	9606.ENSP00000221992	CEACAM7	CEACAM5	9606	0.658	0.0	0.0	0.048	0.429	0.0	0.4	0.076
9606.ENSP00000011653	9606.ENSP00000221992	CD4	CEACAM5	9606	0.605	0.0	0.0	0.0	0.0	0.126	0.0	0.567
9606.ENSP00000011653	9606.ENSP00000264316	CD4	TXK	9606	0.609	0.0	0.0	0.0	0.202	0.081	0.0	0.51
9606.ENSP00000011653	9606.ENSP00000357036	CD4	SLAMF6	9606	0.61	0.0	0.0	0.0	0.176	0.0	0.0	0.545
9606.ENSP00000011653	9606.ENSP00000415743	CD4	CD36	9606	0.612	0.0	0.0	0.0	0.099	0.0	0.0	0.587
9606.ENSP00000011653	9606.ENSP00000376544	CD4	CD79B	9606	0.613	0.0	0.0	0.0	0.18	0.172	0.0	0.476
9606.ENSP00000011653	9606.ENSP00000296027	CD4	CXCL5	9606	0.613	0.0	0.0	0.0	0.0	0.134	0.0	0.571
9606.ENSP00000011653	9606.ENSP00000365596	CD4	GPR183	9606	0.613	0.0	0.0	0.0	0.191	0.208	0.0	0.445
9606.ENSP00000011653	9606.ENSP00000356438	CD4	PTGS2	9606	0.615	0.0	0.0	0.0	0.061	0.0	0.0	0.607
9606.ENSP00000011653	9606.ENSP00000340347	CD4	TCF7	9606	0.615	0.0	0.0	0.0	0.103	0.0	0.0	0.588
9606.ENSP00000011653	9606.ENSP00000496577	CD4	SOCS1	9606	0.619	0.0	0.0	0.0	0.056	0.067	0.0	0.603
9606.ENSP00000011653	9606.ENSP00000484824	CD4	MUC1	9606	0.622	0.0	0.0	0.0	0.0	0.093	0.0	0.601
9606.ENSP00000011653	9606.ENSP00000286639	CD4	BATF	9606	0.627	0.0	0.0	0.0	0.083	0.0	0.0	0.61
9606.ENSP00000011653	9606.ENSP00000266674	CD4	LGR5	9606	0.628	0.0	0.0	0.0	0.0	0.1	0.0	0.604
9606.ENSP00000011653	9606.ENSP00000262629	CD4	TYROBP	9606	0.634	0.0	0.0	0.0	0.332	0.0	0.0	0.475
9606.ENSP00000011653	9606.ENSP00000367323	CD4	KCNAB2	9606	0.635	0.0	0.0	0.0	0.12	0.0	0.0	0.603
9606.ENSP00000011653	9606.ENSP00000330442	CD4	PLB1	9606	0.635	0.0	0.0	0.0	0.087	0.0	0.0	0.617
9606.ENSP00000011653	9606.ENSP00000427279	CD4	CXCL2	9606	0.639	0.0	0.0	0.0	0.042	0.134	0.0	0.599
9606.ENSP00000011653	9606.ENSP00000231751	CD4	LTF	9606	0.64	0.0	0.0	0.0	0.083	0.127	0.0	0.586
9606.ENSP00000011653	9606.ENSP00000356213	CD4	VIP	9606	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.64
9606.ENSP00000011653	9606.ENSP00000223795	CD4	TNFSF8	9606	0.64	0.0	0.0	0.214	0.149	0.0	0.0	0.506
9606.ENSP00000011653	9606.ENSP00000228534	CD4	IL23A	9606	0.642	0.0	0.0	0.0	0.0	0.0	0.0	0.642
9606.ENSP00000011653	9606.ENSP00000319635	CD4	CXCR2	9606	0.642	0.0	0.0	0.0	0.074	0.091	0.0	0.608
9606.ENSP00000011653	9606.ENSP00000436423	CD4	GNLY	9606	0.647	0.0	0.0	0.0	0.108	0.0	0.0	0.621
9606.ENSP00000011653	9606.ENSP00000249071	CD4	RAC2	9606	0.647	0.0	0.0	0.0	0.168	0.071	0.0	0.581
9606.ENSP00000011653	9606.ENSP00000305416	CD4	S1PR1	9606	0.649	0.0	0.0	0.0	0.099	0.091	0.0	0.606
9606.ENSP00000011653	9606.ENSP00000329932	CD4	LGALS9C	9606	0.65	0.0	0.0	0.0	0.062	0.0	0.0	0.642
9606.ENSP00000011653	9606.ENSP00000349437	CD4	IGF2R	9606	0.654	0.0	0.0	0.0	0.05	0.0	0.4	0.442
9606.ENSP00000011653	9606.ENSP00000325708	CD4	CD37	9606	0.657	0.0	0.0	0.0	0.21	0.113	0.0	0.551
9606.ENSP00000011653	9606.ENSP00000483570	CD4	BTK	9606	0.657	0.0	0.0	0.0	0.202	0.081	0.0	0.57
9606.ENSP00000011653	9606.ENSP00000268638	CD4	IRF8	9606	0.658	0.0	0.0	0.0	0.187	0.067	0.0	0.585
9606.ENSP00000011653	9606.ENSP00000299855	CD4	MMP3	9606	0.659	0.0	0.0	0.0	0.0	0.092	0.0	0.64
9606.ENSP00000011653	9606.ENSP00000480558	CD4	CCL3L1	9606	0.66	0.0	0.0	0.0	0.1	0.099	0.0	0.614
9606.ENSP00000011653	9606.ENSP00000497382	CD4	CD53	9606	0.661	0.0	0.0	0.0	0.177	0.113	0.0	0.574
9606.ENSP00000011653	9606.ENSP00000306245	CD4	FOS	9606	0.663	0.0	0.0	0.0	0.044	0.0	0.0	0.662
9606.ENSP00000011653	9606.ENSP00000478887	CD4	MYC	9606	0.663	0.0	0.0	0.0	0.056	0.0	0.0	0.658
9606.ENSP00000011653	9606.ENSP00000396330	CD4	HLA-DQB2	9606	0.669	0.0	0.0	0.0	0.139	0.087	0.5	0.257
9606.ENSP00000011653	9606.ENSP00000302234	CD4	CCL11	9606	0.674	0.0	0.0	0.0	0.058	0.099	0.0	0.647
9606.ENSP00000011653	9606.ENSP00000333919	CD4	BTLA	9606	0.677	0.0	0.0	0.0	0.074	0.0	0.0	0.666
9606.ENSP00000011653	9606.ENSP00000363330	CD4	CD52	9606	0.681	0.0	0.0	0.0	0.19	0.0	0.0	0.622
9606.ENSP00000011653	9606.ENSP00000428184	CD4	SDCBP	9606	0.682	0.0	0.0	0.0	0.042	0.052	0.0	0.678
9606.ENSP00000011653	9606.ENSP00000227163	CD4	SPI1	9606	0.696	0.0	0.0	0.0	0.302	0.0	0.0	0.582
9606.ENSP00000011653	9606.ENSP00000233242	CD4	APOB	9606	0.698	0.0	0.0	0.0	0.0	0.05	0.5	0.417
9606.ENSP00000011653	9606.ENSP00000361405	CD4	MMP9	9606	0.701	0.0	0.0	0.0	0.109	0.092	0.0	0.661
9606.ENSP00000011653	9606.ENSP00000252486	CD4	APOE	9606	0.701	0.0	0.0	0.0	0.054	0.0	0.0	0.697
