geneA,geneB,weight
MEP1B,XPNPEP2,0.9999999205435439
FN1,ITGAM,1.0
HLA-G,LILRA1,0.969186122383249
CLDN18,OCLN,0.9999999999999999
ADAMTS4,COL3A1,1.0
IGFBP5,LUM,0.5574759439065952
ADAMTS2,COL1A1,0.9999999946984468
CD28,CD38,-1.0
IL16,LTA,0.9999999983179161
APOB,OLR1,0.9999999999965828
IL1A,ITGAX,-0.7140185449064613
EDN3,HCAR2,0.9469267444358583
CXCL9,IFNG,-0.999757349822389
CXCL9,PTPRC,-0.9999840866645506
ADAM33,SPINK5,0.999998787928417
DEFA5,MMP7,0.9999999999976605
SLC15A1,SLC6A19,-0.999997405186221
FN1,OCLN,-1.0
CCL17,CXCL10,0.9999998577692427
CCL13,CXCR1,-0.9999997694625197
CXCL10,SOCS1,-0.9869980794422171
ADCYAP1,GCG,-0.8370683364438574
CCL25,CXCL3,-0.9999999999999997
CCL4L2,CCR4,-0.999999999999986
FCGBP,MUC2,0.9999999999999605
IL1A,IL6,-0.9999869803536746
MMP12,TIMP1,-0.9999977195290214
PROM1,SEMA4A,-0.999999999428064
NCF2,PRKCB,0.9999999997286534
LTF,SLC11A1,1.0
ACE2,VWF,0.9998758337687956
ADH6,UGT2B17,0.9999999999999999
HGF,MMP1,-0.9999545643517778
BLK,CD19,-0.9999919010220428
LCN2,MMP9,-0.999999986830838
HSPG2,LRP8,-0.9969545453837955
APOE,ICAM1,-1.0
CXCL2,TNF,1.0
CSF3,LTA,1.0
CCL19,CXCL9,-0.9999641688629352
CD274,LILRB1,1.0
CD79B,CXCL9,0.9996732084182203
CD40,SELP,-1.0
IGFBP5,THBS1,-1.0
BLK,TNFAIP3,-0.9999997509285519
FCAR,FCGR3B,-0.9999999305911419
C3,MMP9,-0.9209594657078944
CXCL10,IL1B,-1.0
CSF2,FCGR2A,1.0
CLEC6A,FCGR3B,-0.9999959704987976
HAPLN1,LUM,-1.0
ADGRE2,SCT,0.9999999999999463
NTRK2,SH2B2,-1.0
FCMR,VPREB3,0.9746317567486147
FOXP3,TNF,-1.0
ANPEP,PTPRC,-0.9941808808401854
COL14A1,LUM,-0.9999999999774406
COL3A1,FN1,0.999997777883749
CYP2B6,CYP4F2,-0.9999999999928738
GBP4,IFI44L,0.9993658619428029
PTGS2,TNFAIP3,0.9999999919049128
SAMD9L,TRIM22,-0.9999999930921512
DOCK4,RPS28,0.9859878413990346
CCL2,CXCR1,0.9999981083443337
CHI3L1,IL13RA2,0.9520097063965504
ADCY7,PKLR,-0.9987050392070081
CNTFR,CSF3,0.9999999999996801
BPIFB1,MUC5B,-0.9993168471978451
MADCAM1,SELL,-1.0
CD14,FCER1G,-0.4496708241691345
ITGB7,VCAM1,-0.9997534933069686
CTSG,LYZ,-0.999999999932967
PHLPP2,PLEK,-1.0
FCGR3A,IFNG,-0.9757566582889389
CCL22,CXCR1,1.0
CCL2,ITGAX,0.9999951723468025
ICOS,ITK,-1.0
FCGR3A,PTPRC,0.9999976092310245
PADI4,VWF,-0.9999999992793437
BLK,CXCR5,0.9999985000519274
HLA-DQA2,PDCD1LG2,0.43358376942358406
CXCL10,RETNLB,-0.9999999999999998
GZMB,KLF2,0.9999999551193296
FCRL5,MS4A1,-1.0
CCR1,FCER1G,-0.9998116953013936
CD1C,CR2,-0.9999999999563822
HLA-DQA2,PDCD1,0.9834690397062957
COL4A3,ITGB7,-0.9999999996732517
AIM2,NLRC5,-0.999999424484066
CYP26B1,CYP2B6,-0.9999999999999953
IL1B,SOCS3,0.9288922784584855
CTHRC1,POSTN,-0.9999974235645726
COL18A1,FN1,-0.9999999999700514
CCL2,IL6,1.0
CD79B,CR2,-0.9519628177281443
CCL20,CXCR4,-1.0
ITGAX,STAT1,0.910110930881128
CXCL10,TLR2,0.9999999874220894
CYP2C9,CYP2D6,0.9999905320093999
FN1,TNFAIP6,0.9999999421134521
IFITM3,OAS2,0.9999999999884807
CCR1,CXCL9,-1.0
NCF2,RAC2,0.9999999863781012
CD79A,TCL1A,0.9998540635082773
ACE2,ITGB1,-0.9999999976507683
LTBP2,TGFB3,-0.9999999895675266
S100A12,S100A9,0.9981103304721464
CD22,ITGAX,-0.9999999972816093
SEC24C,SEC31B,-0.9999999999996523
CCL22,CCL4,0.9999999999999931
ITGAM,NCF2,1.0
IDO1,ITGAX,0.25097968923972785
CXCL10,ITGAM,0.999999998531132
CD40,STAT1,0.9999999999999999
ADH6,DGAT1,-0.6680926267699584
CD40,CD83,1.0
CSF3R,OSM,-0.999999940632998
EGR1,ERBB3,0.9999985828668445
HIF1A,IL6,0.9999693842028006
BGN,CHAD,-1.0
ARHGAP9,SASH3,0.9999999985466572
AICDA,POU2AF1,-0.99906181568801
ICAM1,ITGAX,-0.9999999999331199
ITGB2,PTPRC,-0.9999997626567719
SNAI1,TWIST1,1.0
APOB,GPT,0.4209531831960539
AGR2,FABP2,1.0
LY9,SLAMF1,-1.0
CXCL5,ICAM1,0.9999999999999982
MMRN1,SELP,-0.9999999833991355
CD1C,IFNG,0.9999999999984291
GP1BA,ICAM1,-0.9999999999999998
CD19,SPIB,-0.9999999972194538
CD28,CD48,-0.999999999928065
PI3,PIK3CD,-0.880522363884474
CD1C,PTPRC,-0.9999999999974686
HBEGF,PGF,0.9996311355472185
APOA1,GPT,-0.9999999999840561
MUC13,MUC5B,0.9965378902098972
REG1B,REG3A,1.0
FOXP3,TNFRSF4,-0.9999999997054281
IL6,LTA,0.9999999803060475
APOB,PLA2G12B,-0.9900110702189164
CD5,IL7R,-1.0
ICAM1,IL6,0.9999999688030167
HCAR2,SLC5A8,-1.0
CD72,CD79A,-1.0
CCL19,IFNG,0.9999989045677734
CHGA,MUC2,1.0
F2RL2,PRSS3,1.0
CCR7,CXCR2,0.9999999999998339
APOA4,PLA2G7,0.9999999974131154
CCL19,PTPRC,-0.9999999999999227
CD79B,PTPRC,-0.9999961765803963
COL2A1,COL5A2,0.9499154013216196
GCNT3,MUC2,0.999999999997904
CARD11,DPP4,-0.9988171615369664
FCGR1A,ITGAX,0.9999768222029789
CXCL13,IL1B,0.9999999999899862
CD80,CEACAM5,-0.9999999623028617
FCN1,FCN3,-0.999999999999954
CXCR4,MMP2,0.9999999993232374
CYP2C9,UGT2B7,0.9999999999667395
EDNRA,KCNJ2,-1.0
CYP2C18,CYP3A4,-0.9999999999348537
SLAMF1,SLAMF6,-1.0
IL1B,TREM1,-0.5345443273919414
MEP1B,NTS,-0.9999211023814161
TNFSF11,TNFSF13B,-0.9999999999980241
SLC13A2,SLC26A2,-0.9999999999988738
SERPINE1,TIMP1,0.9999999999998933
ERBB3,EREG,-0.9999999999999852
CCL11,DPP4,1.0
FCGR1A,IL6,0.9999730975205348
MT1E,MT1F,-0.9999974461806189
BATF,CXCR5,0.9999726786935846
F5,SERPINA5,-0.9998705101346382
CD22,CD72,-0.9999999994773766
CCL4,CXCL9,-1.0
ADH1B,ADH1C,0.999999999917985
HCAR2,NPY,0.9999999998189743
ADCYAP1,SST,0.9999995472551597
CXCL5,MMP1,-0.9999954508822575
CLDN18,CLDN8,0.9999999999950596
COL4A3,NPHS1,0.9999961563040409
CSF2,CXCL2,0.9540612109715546
CR2,MME,-0.9999999999999917
FCAMR,FCAR,1.0
ASAH2,SPHK1,-0.9999965240117795
POSTN,THBS2,-0.9999999999707467
IL2RA,IL3RA,0.9993848403589556
ABCB1,CYP3A5,-0.9887617552213049
EIF1AY,TMSB4Y,-0.9999095570041251
PDCD1,TNF,-0.9999999999999803
S100A12,SLC11A1,-0.9999999999996209
CYP2B6,CYP4F3,-1.0
ARG2,IL1B,0.9999949247277341
CCR1,IFNG,0.83946890513056
CXCL8,MMP3,-1.0
CCR1,PTPRC,-0.9998725365104825
CCL21,CXCL13,-1.0
CCL13,CXCL8,-1.0
HGF,IDO1,-1.0
CHGB,SST,1.0
CD5,MS4A1,-0.9999999679584537
CCL11,CXCR2,-0.9999999999999604
MEP1A,XPNPEP2,-0.7299107273094109
DGAT1,MOGAT3,-0.998763025223019
CCR2,SELL,0.3888856395399534
ALPL,SPP1,0.9999369867651661
F13A1,VWF,0.6441136155411429
OSCAR,TNFSF11,0.8859379982373274
MT1G,MT1M,-1.0
CXCL8,FPR1,0.9775667306821569
MT1E,MT1G,-0.9999988382344289
COL5A2,TNXB,-0.999999999999997
HBEGF,PLAU,0.9999670105197029
CCL18,CXCL6,0.9999999980697472
CCN2,IFNG,-0.9999999999999999
IL1B,VWF,-1.0
CTSK,TNF,-1.0
CAPN3,MYOF,0.977776724763363
APOE,SCIN,0.9999999230698339
CCL28,CCR4,-0.9999999999992566
CCL25,CXCL1,-0.9999999251474057
CCN1,SERPINE1,0.9998367087519696
GNA15,RGS13,-0.993278830289736
ITGAX,ITGB1,-0.9999999999999983
COL15A1,COL5A3,-0.9878541029621989
SLC15A1,SLC28A2,-0.999999999999977
CD83,IL1B,1.0
CRISP3,PLB1,1.0
CCL4L2,CXCR2,-0.9966267563108394
FCAR,JCHAIN,-1.0
FCER1G,ITGB2,0.9999999999995157
ALDH1A2,CYP26B1,-0.9999938290616982
CD27,NCR3,-1.0
MME,MUC2,0.9999999999999821
FCGR3B,FCRL1,0.9999999999607457
GNLY,STX11,-0.6185961883150797
LTF,SPP1,0.999999998611852
EGR1,SNAI1,-0.9999871982052799
FCGR2A,ITGB2,0.9999999999845225
CD24,SELP,-1.0
FCGR2B,FCRL2,-1.0
CCL2,CXCL8,0.999998539074811
CD38,CD69,-0.9999999999999972
IL1B,NLRP6,0.9106798214120038
ENTPD8,GUCY2C,1.0
HKDC1,KHK,1.0
LOC102723407,PIGR,-1.0
HSD3B1,HSD3B2,0.9999999542780189
MMRN1,VWF,-0.9999568721916884
APOA1,LTF,-1.0
KRT7,MUC2,-0.9999999908471386
CXCL10,SAA2,-0.9999999999999976
NCF2,S100A9,0.9999999999999779
CCL4,IFNG,0.9981232777690809
FCGR3B,LOC102723407,-0.9999999999999994
PDCD1,TNFRSF4,0.9999924609012052
CCR2,CXCL13,-0.9994296527169588
HDC,HRH2,-1.0
CFTR,PDZK1,0.999999962666388
ACE2,SLC6A19,0.9999999995016592
KDM5D,USP9Y,0.9420871345104779
CD38,NNMT,-0.999991432148033
IL1B,SRGN,0.9999999992923886
CXCL3,IL1A,-0.9998228067868798
HGF,SEMA3B,1.0
DEGS2,RIC3,-0.999999954548549
DAPP1,PIK3AP1,-0.999968988864303
FCGR2B,ITGAX,-0.9999991934823248
CCR2,TLR2,-0.9999999999999996
COL3A1,MMP7,-0.9999999968520169
C4BPB,CR1,0.8822289530442878
IGFBP5,SPP1,-0.9999999999907331
FPR1,PTAFR,0.9999999997539931
FCGR3B,TNFRSF9,1.0
C8G,PTGDS,-0.9938002079767273
IFNG,TNFSF13B,1.0
GCG,PYGL,-1.0
SI,TREH,1.0
FCER1G,PIK3CD,0.9999999999828222
CCR2,ICOS,-1.0
