geneA,geneB,weight
MEP1B,XPNPEP2,1.0
FN1,ITGAM,1.0
HLA-G,LILRA1,-0.999946502859295
CLDN18,OCLN,0.9999999999999944
ADAMTS4,COL3A1,1.0
IGFBP5,LUM,0.2885797268164544
ADAMTS2,COL1A1,1.0
CD28,CD38,-0.9999999999989653
IL16,LTA,-0.9996828016397922
APOB,OLR1,0.9999999628050873
IL1A,ITGAX,-0.9993748650563682
EDN3,HCAR2,-0.999731002683941
CXCL9,IFNG,-0.999999157452368
CXCL9,PTPRC,0.9962540982987805
DEFA5,MMP7,0.9999973114900267
SLC15A1,SLC6A19,1.0
FN1,OCLN,-1.0
CCL17,CXCL10,0.9999999967915734
CCL13,CXCR1,-0.9999999987883688
CXCL10,SOCS1,0.9999999634172966
ADCYAP1,GCG,-0.9999999999509122
CCL25,CXCL3,-1.0
CCL4L2,CCR4,-0.9999999999999821
FCGBP,MUC2,-0.8236503277344217
IL1A,IL6,0.9995119696993645
MMP12,TIMP1,-0.9999996556857611
PROM1,SEMA4A,-0.9999999999058304
NCF2,PRKCB,0.9999999999688816
LTF,SLC11A1,1.0
ACE2,VWF,-0.9999999986563335
ADH6,UGT2B17,1.0
HGF,MMP1,0.9999993626522632
BLK,CD19,-0.9999999999727806
LCN2,MMP9,-0.9999999553879535
HSPG2,LRP8,-0.9981290151588158
APOE,ICAM1,-0.9999999999999998
CXCL2,TNF,1.0
CSF3,LTA,1.0
CCL19,CXCL9,-0.9793154388668729
CD274,LILRB1,1.0
CD79B,CXCL9,0.9999999998005468
CD40,SELP,-1.0
IGFBP5,THBS1,-1.0
BLK,TNFAIP3,-0.9999996090158841
FCAR,FCGR3B,0.9999987704804928
C3,MMP9,-1.0
CXCL10,IL1B,-0.9999999999999999
CSF2,FCGR2A,1.0
CLEC6A,FCGR3B,0.9991778286958224
HAPLN1,LUM,-1.0
ADGRE2,SCT,0.9999999999998447
NTRK2,SH2B2,-0.9999999999999998
FCMR,VPREB3,0.6785408665586031
FOXP3,TNF,-0.9999999999999997
ANPEP,PTPRC,0.9078530715762358
COL14A1,LUM,-0.9999999999999999
COL3A1,FN1,1.0
CYP2B6,CYP4F2,0.9846587032714961
GBP4,IFI44L,-0.9652814484339859
PTGS2,TNFAIP3,0.9999999999958652
SAMD9L,TRIM22,-0.9999999999999992
DOCK4,RPS28,0.9999747517605533
CCL2,CXCR1,0.9999999999998692
